Label,Message_Size,Threads,Duration_s,Time_Elapsed_s,Bytes_Sent,Throughput_Gbps,Latency_us,Cycles,Instructions,Cache_Misses,Context_Switches
TwoCopy,128,1,10,9.642914207,1280,0.000001,964291.421,19460131307,26257196711,135135,977404
OneCopy,128,1,10,9.981101804,1280,0.000001,998110.180,20820689114,27049471970,119830,957483
ZeroCopy,128,1,10,9.974053665,1280,0.000001,997405.366,20630961808,26864696876,124003,950480
TwoCopy,128,2,10,9.970125290,2560,0.000002,498506.265,26836199717,30453233252,196563,1132277
OneCopy,128,2,10,9.977292744,2560,0.000002,498864.637,24249832856,27594289960,191708,975068
ZeroCopy,128,2,10,9.974992342,2560,0.000002,498749.617,25666707284,28217083023,175816,996754
TwoCopy,128,4,10,9.977102859,5120,0.000004,249427.571,39062094534,37064179832,297695,1374130
OneCopy,128,4,10,9.972125950,5120,0.000004,249303.149,40189359880,37221249187,310420,1312971
ZeroCopy,128,4,10,9.974448632,5120,0.000004,249361.216,40567457199,37423259994,272315,1319488
TwoCopy,128,8,10,10.972189712,10240,0.000007,137152.371,60393681713,58638800419,303507,2373417
OneCopy,128,8,10,10.975108002,10240,0.000007,137188.850,61422390170,59164468900,251497,2282130
ZeroCopy,128,8,10,10.976153289,10240,0.000007,137201.916,61696300878,59701861880,301191,2300450
TwoCopy,512,1,10,9.978312417,5120,0.000004,997831.242,15798786587,20091108350,124903,747475
OneCopy,512,1,10,9.978979449,5120,0.000004,997897.945,16244225572,19953407507,133204,705824
ZeroCopy,512,1,10,9.979184477,5120,0.000004,997918.448,16376578950,19785756206,147681,699664
TwoCopy,512,2,10,9.978977073,10240,0.000008,498948.854,25014566226,28888711068,198069,1074163
OneCopy,512,2,10,9.976275578,10240,0.000008,498813.779,25789136276,28704028864,204857,1014120
ZeroCopy,512,2,10,9.966116718,10240,0.000008,498305.836,26144287974,28556278517,198056,1008860
TwoCopy,512,4,10,9.966211899,20480,0.000016,249155.297,39491797495,37253719364,292109,1381162
OneCopy,512,4,10,9.964224315,20480,0.000016,249105.608,40415667931,37138509502,294190,1309104
ZeroCopy,512,4,10,9.972707916,20480,0.000016,249317.698,40705244426,37318280674,356083,1315190
TwoCopy,512,8,10,10.972791013,40960,0.000030,137159.888,60394080579,58715658742,297156,2376900
OneCopy,512,8,10,10.955010403,40960,0.000030,136937.630,61070937995,58963683344,252696,2265291
ZeroCopy,512,8,10,9.974016142,40960,0.000033,124675.202,61733890245,58790895456,236786,2279292
TwoCopy,1024,1,10,9.971015416,10240,0.000008,997101.542,15763869495,19695715683,139292,728486
OneCopy,1024,1,10,9.979902305,10240,0.000008,997990.230,16431468667,19737259337,120908,696049
ZeroCopy,1024,1,10,9.979809830,10240,0.000008,997980.983,16409628041,19682530207,119669,693995
TwoCopy,1024,2,10,9.965016933,20480,0.000016,498250.847,25057570374,28558380233,178744,1055666
OneCopy,1024,2,10,9.968188955,20480,0.000016,498409.448,25891625313,28381884776,198643,1000311
ZeroCopy,1024,2,10,9.977938771,20480,0.000016,498896.939,26330639926,28201879615,202065,993514
TwoCopy,1024,4,10,9.976559244,40960,0.000033,249413.981,39563126831,36787989666,370411,1355761
OneCopy,1024,4,10,9.971482633,40960,0.000033,249287.066,40666406240,36852409872,337519,1295793
ZeroCopy,1024,4,10,9.974147225,40960,0.000033,249353.681,41142966385,37129067471,340447,1305214
TwoCopy,1024,8,10,9.972982570,81920,0.000066,124662.282,59572071473,58134772426,321746,2373008
OneCopy,1024,8,10,10.969577016,81920,0.000060,137119.713,60910636466,58824826250,283205,2266558
ZeroCopy,1024,8,10,10.977261036,81920,0.000060,137215.763,61524391864,59233443977,277976,2271771
TwoCopy,4096,1,10,9.975397430,40960,0.000033,997539.743,16255291764,19344784846,164216,661156
OneCopy,4096,1,10,9.966231435,40960,0.000033,996623.143,16542301522,19408801434,117569,644323
ZeroCopy,4096,1,10,9.968100085,40960,0.000033,996810.008,16333439017,19063587424,127820,632634
TwoCopy,4096,2,10,9.977801241,81920,0.000066,498890.062,25543436687,28081452757,219047,959041
OneCopy,4096,2,10,9.976933338,81920,0.000066,498846.667,26362348448,27888270338,211144,924692
ZeroCopy,4096,2,10,9.976008804,81920,0.000066,498800.440,26500186589,27704280744,253286,918253
TwoCopy,4096,4,10,9.976660704,163840,0.000131,249416.518,40316863187,36455079352,378576,1241630
OneCopy,4096,4,10,9.974001639,163840,0.000131,249350.041,41001891898,36484810675,406940,1206571
ZeroCopy,4096,4,10,9.973181308,163840,0.000131,249329.533,41329075160,36466390734,421226,1206395
TwoCopy,4096,8,10,10.953208333,327680,0.000239,136915.104,59836034545,58605835194,416941,2197322
OneCopy,4096,8,10,10.978209917,327680,0.000239,137227.624,63006123234,58514047413,368873,2106378
ZeroCopy,4096,8,10,10.964259680,327680,0.000239,137053.246,62343319059,58797891407,253144,2132658
